partner_code,partner_name,city,device_id
PTR001,Sharma Telecom,Mumbai,GX807
PTR001,Sharma Telecom,Mumbai,GX2998
PTR001,Sharma Telecom,Mumbai,SY085756
PTR001,Sharma Telecom,Mumbai,GX143742
PTR001,Sharma Telecom,Mumbai,GX52879
PTR001,Sharma Telecom,Mumbai,GX632284
PTR001,Sharma Telecom,Mumbai,GX5452
PTR001,Sharma Telecom,Mumbai,GX579275
PTR001,Sharma Telecom,Mumbai,GX9203
PTR001,Sharma Telecom,Mumbai,SY78045
PTR001,Sharma Telecom,Mumbai,GX155740
PTR001,Sharma Telecom,Mumbai,SY2411
PTR001,Sharma Telecom,Mumbai,GX879885
PTR001,Sharma Telecom,Mumbai,SY7000
PTR001,Sharma Telecom,Mumbai,GX42941
PTR001,Sharma Telecom,Mumbai,GX89694
PTR001,Sharma Telecom,Mumbai,SY351
PTR001,Sharma Telecom,Mumbai,SY261
PTR001,Sharma Telecom,Mumbai,SY6548
PTR001,Sharma Telecom,Mumbai,SY110
PTR001,Sharma Telecom,Mumbai,GX87258
PTR001,Sharma Telecom,Mumbai,GX270
PTR001,Sharma Telecom,Mumbai,SY23076
PTR001,Sharma Telecom,Mumbai,GX395070
PTR001,Sharma Telecom,Mumbai,SY5338
PTR001,Sharma Telecom,Mumbai,GX61014
PTR001,Sharma Telecom,Mumbai,GX272
PTR001,Sharma Telecom,Mumbai,GX234
PTR001,Sharma Telecom,Mumbai,GX313
PTR001,Sharma Telecom,Mumbai,GX64976
PTR001,Sharma Telecom,Mumbai,GX720
PTR001,Sharma Telecom,Mumbai,GX821009
PTR001,Sharma Telecom,Mumbai,GX1591
PTR001,Sharma Telecom,Mumbai,SY2201
PTR001,Sharma Telecom,Mumbai,GX338
PTR001,Sharma Telecom,Mumbai,SY265
PTR001,Sharma Telecom,Mumbai,GX20028
PTR001,Sharma Telecom,Mumbai,GX80456
PTR001,Sharma Telecom,Mumbai,SY56061
PTR001,Sharma Telecom,Mumbai,GX892
PTR001,Sharma Telecom,Mumbai,SY75737
PTR001,Sharma Telecom,Mumbai,GX2928
PTR001,Sharma Telecom,Mumbai,GX621153
PTR001,Sharma Telecom,Mumbai,GX36642
PTR001,Sharma Telecom,Mumbai,GX83499
PTR001,Sharma Telecom,Mumbai,SY6449
PTR001,Sharma Telecom,Mumbai,SY456
PTR001,Sharma Telecom,Mumbai,SY4164
PTR001,Sharma Telecom,Mumbai,SY58613
PTR001,Sharma Telecom,Mumbai,SY266
PTR001,Sharma Telecom,Mumbai,SY864415
PTR001,Sharma Telecom,Mumbai,SY92653
PTR001,Sharma Telecom,Mumbai,SY801
PTR001,Sharma Telecom,Mumbai,GX6882
PTR001,Sharma Telecom,Mumbai,SY99499
PTR001,Sharma Telecom,Mumbai,SY8242
PTR001,Sharma Telecom,Mumbai,SY3138
PTR001,Sharma Telecom,Mumbai,SY82562
PTR001,Sharma Telecom,Mumbai,GX744
PTR001,Sharma Telecom,Mumbai,GX4083
PTR001,Sharma Telecom,Mumbai,GX7601
PTR001,Sharma Telecom,Mumbai,SY952031
PTR001,Sharma Telecom,Mumbai,SY78036
PTR001,Sharma Telecom,Mumbai,SY70997
PTR001,Sharma Telecom,Mumbai,GX945960
PTR001,Sharma Telecom,Mumbai,GX299
PTR001,Sharma Telecom,Mumbai,GX67010
PTR001,Sharma Telecom,Mumbai,SY5044
PTR001,Sharma Telecom,Mumbai,GX7508
PTR001,Sharma Telecom,Mumbai,GX6027
PTR001,Sharma Telecom,Mumbai,GX6836
PTR001,Sharma Telecom,Mumbai,GX10697
PTR001,Sharma Telecom,Mumbai,SY249
PTR001,Sharma Telecom,Mumbai,GX35187
PTR001,Sharma Telecom,Mumbai,GX5989
PTR001,Sharma Telecom,Mumbai,SY823
PTR001,Sharma Telecom,Mumbai,SY646
PTR001,Sharma Telecom,Mumbai,GX510
PTR001,Sharma Telecom,Mumbai,SY274680
PTR001,Sharma Telecom,Mumbai,SY532615
PTR001,Sharma Telecom,Mumbai,SY22092
PTR001,Sharma Telecom,Mumbai,GX740
PTR001,Sharma Telecom,Mumbai,GX633720
PTR001,Sharma Telecom,Mumbai,SY720058
PTR001,Sharma Telecom,Mumbai,GX14220
PTR001,Sharma Telecom,Mumbai,SY8694
PTR001,Sharma Telecom,Mumbai,GX299828
PTR001,Sharma Telecom,Mumbai,GX894
PTR001,Sharma Telecom,Mumbai,SY740539
PTR001,Sharma Telecom,Mumbai,SY181203
PTR001,Sharma Telecom,Mumbai,GX290378
PTR001,Sharma Telecom,Mumbai,GX386
PTR001,Sharma Telecom,Mumbai,GX5185
PTR001,Sharma Telecom,Mumbai,SY51913
PTR001,Sharma Telecom,Mumbai,SY641
PTR001,Sharma Telecom,Mumbai,SY819717
PTR001,Sharma Telecom,Mumbai,GX182401
PTR001,Sharma Telecom,Mumbai,SY591
PTR001,Sharma Telecom,Mumbai,SY9954
PTR001,Sharma Telecom,Mumbai,SY61138
PTR002,Gupta Networks,Delhi,SY323491
PTR002,Gupta Networks,Delhi,SY878
PTR002,Gupta Networks,Delhi,GX4053
PTR002,Gupta Networks,Delhi,SY387
PTR002,Gupta Networks,Delhi,SY16017
PTR002,Gupta Networks,Delhi,SY403
PTR002,Gupta Networks,Delhi,SY174420
PTR002,Gupta Networks,Delhi,GX50670
PTR002,Gupta Networks,Delhi,GX875102
PTR002,Gupta Networks,Delhi,SY7315
PTR002,Gupta Networks,Delhi,GX267
PTR002,Gupta Networks,Delhi,GX658
PTR002,Gupta Networks,Delhi,SY7694
PTR002,Gupta Networks,Delhi,GX2060
PTR002,Gupta Networks,Delhi,SY147565
PTR002,Gupta Networks,Delhi,GX405326
PTR002,Gupta Networks,Delhi,GX8424
PTR002,Gupta Networks,Delhi,GX85917
PTR002,Gupta Networks,Delhi,GX435484
PTR002,Gupta Networks,Delhi,SY69628
PTR002,Gupta Networks,Delhi,SY2353
PTR002,Gupta Networks,Delhi,SY451414
PTR002,Gupta Networks,Delhi,GX924601
PTR002,Gupta Networks,Delhi,GX95046
PTR002,Gupta Networks,Delhi,GX48444
PTR002,Gupta Networks,Delhi,SY207907
PTR002,Gupta Networks,Delhi,GX64211
PTR002,Gupta Networks,Delhi,SY99358
PTR002,Gupta Networks,Delhi,SY3565
PTR002,Gupta Networks,Delhi,SY357948
PTR002,Gupta Networks,Delhi,GX798
PTR002,Gupta Networks,Delhi,SY3870
PTR002,Gupta Networks,Delhi,GX870707
PTR002,Gupta Networks,Delhi,GX7078
PTR002,Gupta Networks,Delhi,SY687
PTR002,Gupta Networks,Delhi,SY1452
PTR002,Gupta Networks,Delhi,SY9099
PTR002,Gupta Networks,Delhi,SY436438
PTR002,Gupta Networks,Delhi,GX49375
PTR002,Gupta Networks,Delhi,SY552138
PTR002,Gupta Networks,Delhi,SY171
PTR002,Gupta Networks,Delhi,SY351638
PTR002,Gupta Networks,Delhi,GX119
PTR002,Gupta Networks,Delhi,SY416824
PTR002,Gupta Networks,Delhi,GX68431
PTR002,Gupta Networks,Delhi,SY20548
PTR002,Gupta Networks,Delhi,SY853
PTR002,Gupta Networks,Delhi,GX982
PTR002,Gupta Networks,Delhi,SY336
PTR002,Gupta Networks,Delhi,SY30404
PTR002,Gupta Networks,Delhi,SY819529
PTR002,Gupta Networks,Delhi,GX188
PTR002,Gupta Networks,Delhi,SY9939
PTR002,Gupta Networks,Delhi,SY138
PTR002,Gupta Networks,Delhi,SY5865
PTR002,Gupta Networks,Delhi,SY8709
PTR002,Gupta Networks,Delhi,SY8023
PTR002,Gupta Networks,Delhi,SY930626
PTR002,Gupta Networks,Delhi,SY71220
PTR002,Gupta Networks,Delhi,GX534
PTR002,Gupta Networks,Delhi,GX1426
PTR002,Gupta Networks,Delhi,GX526299
PTR002,Gupta Networks,Delhi,GX11034
PTR002,Gupta Networks,Delhi,GX35806
PTR002,Gupta Networks,Delhi,SY750
PTR002,Gupta Networks,Delhi,SY52442
PTR002,Gupta Networks,Delhi,GX110954
PTR002,Gupta Networks,Delhi,SY643146
PTR002,Gupta Networks,Delhi,SY888
PTR002,Gupta Networks,Delhi,GX52364
PTR002,Gupta Networks,Delhi,SY230719
PTR002,Gupta Networks,Delhi,GX397184
PTR002,Gupta Networks,Delhi,SY60741
PTR002,Gupta Networks,Delhi,SY8124
