partner_code,partner_name,city,device_id
PTR001,Sharma Telecom,Mumbai,GX15213
PTR001,Sharma Telecom,Mumbai,SY56189
PTR001,Sharma Telecom,Mumbai,KL78432
PTR001,Sharma Telecom,Mumbai,BN90215
PTR001,Sharma Telecom,Mumbai,RT34567
PTR001,Sharma Telecom,Mumbai,HJ12890
PTR001,Sharma Telecom,Mumbai,WQ45678
PTR001,Sharma Telecom,Mumbai,MN67834
PTR001,Sharma Telecom,Mumbai,PX23156
PTR001,Sharma Telecom,Mumbai,DF89012
PTR001,Sharma Telecom,Mumbai,VL34589
PTR001,Sharma Telecom,Mumbai,ZC56712
PTR001,Sharma Telecom,Mumbai,AT78945
PTR001,Sharma Telecom,Mumbai,JK90123
PTR001,Sharma Telecom,Mumbai,QW12367
PTR001,Sharma Telecom,Mumbai,ER45690
PTR001,Sharma Telecom,Mumbai,TY78923
PTR001,Sharma Telecom,Mumbai,UI01256
PTR001,Sharma Telecom,Mumbai,OP34589
PTR001,Sharma Telecom,Mumbai,AS67812
PTR001,Sharma Telecom,Mumbai,FG90145
PTR001,Sharma Telecom,Mumbai,HK23478
PTR001,Sharma Telecom,Mumbai,LZ56701
PTR001,Sharma Telecom,Mumbai,XC89034
PTR001,Sharma Telecom,Mumbai,BV12367
PTR001,Sharma Telecom,Mumbai,NM45690
PTR001,Sharma Telecom,Mumbai,QP78923
PTR001,Sharma Telecom,Mumbai,WE01256
PTR001,Sharma Telecom,Mumbai,RY34589
PTR001,Sharma Telecom,Mumbai,TO67812
PTR001,Sharma Telecom,Mumbai,IP90145
PTR001,Sharma Telecom,Mumbai,AD23478
PTR001,Sharma Telecom,Mumbai,SF56701
PTR001,Sharma Telecom,Mumbai,GH89034
PTR001,Sharma Telecom,Mumbai,JL12367
PTR001,Sharma Telecom,Mumbai,ZX45690
PTR001,Sharma Telecom,Mumbai,CV78923
PTR001,Sharma Telecom,Mumbai,BN01256
PTR001,Sharma Telecom,Mumbai,MK34589
PTR001,Sharma Telecom,Mumbai,PL67812
PTR001,Sharma Telecom,Mumbai,QA90145
PTR001,Sharma Telecom,Mumbai,WS23478
PTR001,Sharma Telecom,Mumbai,ED56701
PTR001,Sharma Telecom,Mumbai,RF89034
PTR001,Sharma Telecom,Mumbai,TG12367
PTR001,Sharma Telecom,Mumbai,YH45690
PTR001,Sharma Telecom,Mumbai,UJ78923
PTR001,Sharma Telecom,Mumbai,IK01256
PTR001,Sharma Telecom,Mumbai,OL34589
PTR001,Sharma Telecom,Mumbai,PA67812
PTR001,Sharma Telecom,Mumbai,SB90145
PTR001,Sharma Telecom,Mumbai,DC23478
PTR001,Sharma Telecom,Mumbai,FE56701
PTR001,Sharma Telecom,Mumbai,GR89034
PTR001,Sharma Telecom,Mumbai,HT12367
PTR001,Sharma Telecom,Mumbai,JY45690
PTR001,Sharma Telecom,Mumbai,KU78923
PTR001,Sharma Telecom,Mumbai,LI01256
PTR001,Sharma Telecom,Mumbai,ZO34589
